Table S3. All parameter estimates from the best fit model for each species. Median estimates and 95% credible intervals are included.,,,,,,
species,parameter,state,explanation,lower(2.5%),median,upper(97.5%)
fox squirrel,b_2018.9.,occupancy,MAWI-2018 data,-3.71,0.00,3.65
fox squirrel,D0.1.,detection,AUTX-intercept,-2.27,-2.01,-1.74
fox squirrel,D0.2.,detection,CHIL-intercept,-2.20,-2.07,-1.94
fox squirrel,D0.3.,detection,DECO-intercept,-0.80,-0.67,-0.53
fox squirrel,D0.4.,detection,FOCO-intercept,-1.44,-1.26,-1.10
fox squirrel,D0.5.,detection,ICIA-intercept,-3.02,-2.66,-2.31
fox squirrel,D0.6.,detection,ININ-intercept,-1.82,-1.70,-1.58
fox squirrel,D0.7.,detection,LBCA-intercept,-4.21,-3.37,-2.67
fox squirrel,D0.8.,detection,MAKS-intercept,-1.67,-1.54,-1.41
fox squirrel,D0.9.,detection,MAWI-intercept,-3.97,-1.83,0.38
fox squirrel,D0.10.,detection,WIDE-intercept,-3.98,-1.84,0.35
fox squirrel,Dmu,detection,grand mean,-2.53,-1.83,-1.09
fox squirrel,psi_sd,occupancy,among city standard deviation,0.47,1.07,2.01
fox squirrel,rho_sd,detection,among city standard deviation,0.46,0.89,1.62
fox squirrel,B_diff.1.,occupancy,AUTX-random effect,-1.34,0.21,1.72
fox squirrel,B_diff.2.,occupancy,CHIL-random effect,-2.28,-0.66,0.87
fox squirrel,B_diff.3.,occupancy,DECO-random effect,0.19,1.24,2.34
fox squirrel,B_diff.4.,occupancy,FOCO-random effect,-0.11,0.96,2.09
fox squirrel,B_diff.5.,occupancy,ICIA-random effect,-1.96,-0.78,0.34
fox squirrel,B_diff.6.,occupancy,ININ-random effect,-0.51,0.66,1.87
fox squirrel,B_diff.7.,occupancy,LBCA-random effect,-2.31,-0.90,0.44
fox squirrel,B_diff.8.,occupancy,MAKS-random effect,-2.43,-0.78,0.77
fox squirrel,B_diff.9.,occupancy,MAWI-random effect,-2.49,0.00,2.50
fox squirrel,B_diff.10.,occupancy,WIDE--random effect,-2.45,-0.01,2.56
gray squirrel,B0.1.,occupancy,AUTX-intercept,-2.71,0.90,4.51
gray squirrel,B0.2.,occupancy,CHIL-intercept,-2.89,0.09,3.11
gray squirrel,B0.3.,occupancy,DECO-intercept,-1.87,0.48,2.71
gray squirrel,B0.4.,occupancy,FOCO-intercept,-2.44,-0.41,1.64
gray squirrel,B0.5.,occupancy,ICIA-intercept,-3.45,-1.02,1.65
gray squirrel,B0.6.,occupancy,ININ-intercept,-2.63,-0.75,1.27
gray squirrel,B0.7.,occupancy,LBCA-intercept,-1.76,-0.12,1.51
gray squirrel,B0.8.,occupancy,MAKS-intercept,-3.54,0.06,3.58
gray squirrel,B0.9.,occupancy,MAWI-intercept,-2.15,-0.16,1.97
gray squirrel,B0.10.,occupancy,WIDE-intercept,-2.13,0.29,2.65
gray squirrel,B.1.,occupancy,AUTX-slope,0.22,2.62,5.19
gray squirrel,B.2.,occupancy,CHIL-slope,-0.11,0.05,0.23
gray squirrel,B.3.,occupancy,DECO-slope,0.14,1.31,2.58
gray squirrel,B.4.,occupancy,FOCO-slope,-0.20,0.83,1.93
gray squirrel,B.5.,occupancy,ICIA-slope,-1.43,-0.23,0.94
gray squirrel,B.6.,occupancy,ININ-slope,-1.02,-0.14,0.77
gray squirrel,B.7.,occupancy,LBCA-slope,0.04,0.98,2.07
gray squirrel,B.8.,occupancy,MAKS-slope,0.14,2.06,4.19
gray squirrel,B.9.,occupancy,MAWI-slope,-0.21,0.10,0.42
gray squirrel,B.10.,occupancy,WIDE-slope,0.20,1.73,3.47
gray squirrel,b1.1.,occupancy,among_city_intercept,-1.58,-0.06,1.50
gray squirrel,b1.2.,occupancy,among_city_greenspace,-1.33,0.55,2.28
gray squirrel,b1.3.,occupancy,among_city_hden,-1.12,0.56,2.11
gray squirrel,b2.1.,occupancy,among_city_slope,0.07,0.93,1.95
gray squirrel,b2.2.,occupancy,among_city_slope_greenspace,0.04,1.12,2.29
gray squirrel,b2.3.,occupancy,among_city_slope_hden,-0.20,0.46,1.13
gray squirrel,b_2016.2.,occupancy,CHIL-2016 data,-0.36,0.22,0.79
gray squirrel,b_2016.8.,occupancy,MAKS-2016 data,-3.69,0.00,3.60
gray squirrel,b_2018.2.,occupancy,CHIL-2018 data,-0.25,0.32,0.89
gray squirrel,b_2018.5.,occupancy,ICIA-2018 data,0.31,1.26,2.26
gray squirrel,b_2018.6.,occupancy,ININ-2018 data,-3.11,-1.21,0.51
gray squirrel,b_2018.9.,occupancy,MAWI-2018 data,-0.86,0.23,1.28
gray squirrel,D0.1.,detection,AUTX-intercept,-2.63,-1.36,-0.04
gray squirrel,D0.2.,detection,CHIL-intercept,-0.87,-0.81,-0.75
gray squirrel,D0.3.,detection,DECO-intercept,-2.68,-1.36,-0.09
gray squirrel,D0.4.,detection,FOCO-intercept,-2.66,-1.36,-0.08
gray squirrel,D0.5.,detection,ICIA-intercept,-1.31,-1.20,-1.08
gray squirrel,D0.6.,detection,ININ-intercept,-2.14,-1.73,-1.34
gray squirrel,D0.7.,detection,LBCA-intercept,-2.52,-2.06,-1.64
gray squirrel,D0.8.,detection,MAKS-intercept,-2.66,-1.36,-0.07
gray squirrel,D0.9.,detection,MAWI-intercept,-1.46,-1.29,-1.13
gray squirrel,D0.10.,detection,WIDE-intercept,-1.42,-1.24,-1.06
gray squirrel,Dmu,detection,grand mean,-1.85,-1.36,-0.86
gray squirrel,psi_sd,occupancy,among city standard deviation,0.59,1.61,3.48
gray squirrel,rho_sd,detection,among city standard deviation,0.20,0.49,1.01
gray squirrel,B_diff.1.,occupancy,AUTX-random effect,-3.96,-0.01,4.14
gray squirrel,B_diff.2.,occupancy,CHIL-random effect,-2.56,0.44,3.44
gray squirrel,B_diff.3.,occupancy,DECO-random effect,-4.07,0.01,4.03
gray squirrel,B_diff.4.,occupancy,FOCO-random effect,-4.01,0.00,4.14
gray squirrel,B_diff.5.,occupancy,ICIA-random effect,-1.52,1.06,3.58
gray squirrel,B_diff.6.,occupancy,ININ-random effect,-3.81,-1.57,0.34
gray squirrel,B_diff.7.,occupancy,LBCA-random effect,-3.38,-1.43,0.33
gray squirrel,B_diff.8.,occupancy,MAKS-random effect,-4.02,0.00,4.06
gray squirrel,B_diff.9.,occupancy,MAWI-random effect,-2.02,0.08,2.19
gray squirrel,B_diff.10.,occupancy,WIDE--random effect,-1.03,1.26,3.89
opossum,B0.1.,occupancy,AUTX-intercept,-0.45,0.09,0.56
opossum,B0.2.,occupancy,CHIL-intercept,-1.07,-0.09,0.72
opossum,B0.3.,occupancy,DECO-intercept,-0.71,0.01,0.59
opossum,B0.4.,occupancy,FOCO-intercept,-0.34,0.28,0.86
opossum,B0.5.,occupancy,ICIA-intercept,-0.41,0.32,0.97
opossum,B0.6.,occupancy,ININ-intercept,-0.31,0.22,0.70
opossum,B0.7.,occupancy,LBCA-intercept,-0.32,0.19,0.63
opossum,B0.8.,occupancy,MAKS-intercept,-0.42,0.34,1.05
opossum,B0.9.,occupancy,MAWI-intercept,-0.65,0.02,0.57
opossum,B0.10.,occupancy,WIDE-intercept,-0.33,0.17,0.60
opossum,B.1.,occupancy,AUTX-slope,-0.50,-0.21,0.07
opossum,B.2.,occupancy,CHIL-slope,-0.80,-0.56,-0.33
opossum,B.3.,occupancy,DECO-slope,-0.59,-0.37,-0.15
opossum,B.4.,occupancy,FOCO-slope,-0.39,0.15,0.71
opossum,B.5.,occupancy,ICIA-slope,-0.38,0.23,0.85
opossum,B.6.,occupancy,ININ-slope,-0.41,0.05,0.52
opossum,B.7.,occupancy,LBCA-slope,-0.44,-0.02,0.40
opossum,B.8.,occupancy,MAKS-slope,-0.37,0.27,0.92
opossum,B.9.,occupancy,MAWI-slope,-0.57,-0.33,-0.11
opossum,B.10.,occupancy,WIDE-slope,-0.44,-0.06,0.34
opossum,b1.1.,occupancy,among_city_intercept,-0.35,0.15,0.58
opossum,b1.2.,occupancy,among_city_hden,-0.61,-0.14,0.28
opossum,b2.1.,occupancy,among_city_slope,-0.46,-0.09,0.28
opossum,b2.2.,occupancy,among_city_slope_hden,-0.51,-0.28,-0.04
opossum,b_2016.2.,occupancy,CHIL-2016 data,-1.01,-0.45,0.13
opossum,b_2016.8.,occupancy,MAKS-2016 data,-1.36,-0.71,-0.09
opossum,b_2018.2.,occupancy,CHIL-2018 data,-0.92,-0.34,0.21
opossum,b_2018.5.,occupancy,ICIA-2018 data,0.33,1.26,2.24
opossum,b_2018.6.,occupancy,ININ-2018 data,-0.63,0.21,1.02
opossum,b_2018.9.,occupancy,MAWI-2018 data,-1.04,-0.06,0.94
opossum,D0.1.,detection,AUTX-intercept,-2.86,-2.32,-1.85
opossum,D0.2.,detection,CHIL-intercept,-1.45,-1.37,-1.29
opossum,D0.3.,detection,DECO-intercept,-2.71,-1.67,-0.70
opossum,D0.4.,detection,FOCO-intercept,-2.68,-1.67,-0.65
opossum,D0.5.,detection,ICIA-intercept,-1.73,-1.60,-1.47
opossum,D0.6.,detection,ININ-intercept,-1.56,-1.45,-1.35
opossum,D0.7.,detection,LBCA-intercept,-2.67,-1.67,-0.65
opossum,D0.8.,detection,MAKS-intercept,-1.44,-1.34,-1.25
opossum,D0.9.,detection,MAWI-intercept,-2.03,-1.81,-1.60
opossum,D0.10.,detection,WIDE-intercept,-2.21,-1.93,-1.65
opossum,Dmu,detection,grand mean,-2.04,-1.67,-1.32
opossum,psi_sd,occupancy,among city standard deviation,0.02,0.39,0.98
opossum,rho_sd,detection,among city standard deviation,0.16,0.39,0.79
opossum,B_diff.1.,occupancy,AUTX-random effect,-1.26,-0.33,0.24
opossum,B_diff.2.,occupancy,CHIL-random effect,-0.59,0.15,1.15
opossum,B_diff.3.,occupancy,DECO-random effect,-1.14,0.00,1.08
opossum,B_diff.4.,occupancy,FOCO-random effect,-1.11,0.00,1.10
opossum,B_diff.5.,occupancy,ICIA-random effect,-1.09,-0.21,0.40
opossum,B_diff.6.,occupancy,ININ-random effect,-0.22,0.29,1.09
opossum,B_diff.7.,occupancy,LBCA-random effect,-1.09,0.00,1.10
opossum,B_diff.8.,occupancy,MAKS-random effect,-0.49,0.14,1.00
opossum,B_diff.9.,occupancy,MAWI-random effect,-0.86,-0.07,0.59
opossum,B_diff.10.,occupancy,WIDE--random effect,-0.60,0.02,0.71
cottontail,B0.1.,occupancy,AUTX-intercept,-1.28,-0.79,-0.33
cottontail,B0.2.,occupancy,CHIL-intercept,-0.62,-0.19,0.25
cottontail,B0.3.,occupancy,DECO-intercept,-0.76,-0.49,-0.23
cottontail,B0.4.,occupancy,FOCO-intercept,-0.86,-0.56,-0.28
cottontail,B0.5.,occupancy,ICIA-intercept,-0.67,-0.39,-0.09
cottontail,B0.6.,occupancy,ININ-intercept,-0.65,-0.34,-0.03
cottontail,B0.7.,occupancy,LBCA-intercept,-0.83,-0.54,-0.26
cottontail,B0.8.,occupancy,MAKS-intercept,-1.38,-0.84,-0.34
cottontail,B0.9.,occupancy,MAWI-intercept,-0.62,-0.27,0.11
cottontail,B0.10.,occupancy,WIDE-intercept,-1.05,-0.67,-0.32
cottontail,B.1.,occupancy,AUTX-slope,-0.22,0.40,1.04
cottontail,B.2.,occupancy,CHIL-slope,-0.03,0.13,0.29
cottontail,B.3.,occupancy,DECO-slope,-0.05,0.27,0.59
cottontail,B.4.,occupancy,FOCO-slope,-0.09,0.30,0.68
cottontail,B.5.,occupancy,ICIA-slope,0.00,0.22,0.44
cottontail,B.6.,occupancy,ININ-slope,0.01,0.20,0.39
cottontail,B.7.,occupancy,LBCA-slope,-0.08,0.29,0.65
cottontail,B.8.,occupancy,MAKS-slope,-0.25,0.42,1.11
cottontail,B.9.,occupancy,MAWI-slope,0.01,0.16,0.32
cottontail,B.10.,occupancy,WIDE-slope,-0.17,0.35,0.84
cottontail,b1.1.,occupancy,among_city_intercept,-0.78,-0.51,-0.24
cottontail,b1.2.,occupancy,among_city_greenspace,-0.49,-0.22,0.03
cottontail,b2.1.,occupancy,among_city_slope,-0.06,0.27,0.61
cottontail,b2.2.,occupancy,among_city_slope_greenspace,-0.14,0.10,0.34
cottontail,b_2016.2.,occupancy,CHIL-2016 data,-0.52,0.01,0.53
cottontail,b_2016.8.,occupancy,MAKS-2016 data,-0.86,-0.19,0.45
cottontail,b_2018.2.,occupancy,CHIL-2018 data,-0.51,0.01,0.53
cottontail,b_2018.5.,occupancy,ICIA-2018 data,-0.23,0.48,1.22
cottontail,b_2018.6.,occupancy,ININ-2018 data,-0.41,0.32,1.01
cottontail,b_2018.9.,occupancy,MAWI-2018 data,-6.26,-3.39,-1.33
cottontail,D0.1.,detection,AUTX-intercept,-3.78,-2.66,-1.79
cottontail,D0.2.,detection,CHIL-intercept,-1.49,-1.41,-1.32
cottontail,D0.3.,detection,DECO-intercept,-1.09,-0.88,-0.68
cottontail,D0.4.,detection,FOCO-intercept,-1.23,-1.03,-0.83
cottontail,D0.5.,detection,ICIA-intercept,-1.91,-1.75,-1.58
cottontail,D0.6.,detection,ININ-intercept,-1.81,-1.67,-1.54
cottontail,D0.7.,detection,LBCA-intercept,-3.41,-1.61,0.21
cottontail,D0.8.,detection,MAKS-intercept,-1.73,-1.59,-1.45
cottontail,D0.9.,detection,MAWI-intercept,-1.32,-1.10,-0.89
cottontail,D0.10.,detection,WIDE-intercept,-3.51,-2.85,-2.25
cottontail,Dmu,detection,grand mean,-2.19,-1.61,-1.03
cottontail,psi_sd,occupancy,among city standard deviation,0.02,0.13,0.49
cottontail,rho_sd,detection,among city standard deviation,0.36,0.75,1.37
cottontail,B_diff.1.,occupancy,AUTX-random effect,-0.71,-0.05,0.26
cottontail,B_diff.2.,occupancy,CHIL-random effect,-0.56,-0.05,0.24
cottontail,B_diff.3.,occupancy,DECO-random effect,-0.38,0.00,0.35
cottontail,B_diff.4.,occupancy,FOCO-random effect,-0.28,0.03,0.52
cottontail,B_diff.5.,occupancy,ICIA-random effect,-0.51,-0.03,0.26
cottontail,B_diff.6.,occupancy,ININ-random effect,-0.23,0.04,0.52
cottontail,B_diff.7.,occupancy,LBCA-random effect,-0.50,0.00,0.51
cottontail,B_diff.8.,occupancy,MAKS-random effect,-0.35,0.02,0.51
cottontail,B_diff.9.,occupancy,MAWI-random effect,-0.31,0.03,0.51
cottontail,B_diff.10.,occupancy,WIDE--random effect,-0.40,0.01,0.46
raccoon,B0.1.,occupancy,AUTX-intercept,0.17,0.80,1.42
raccoon,B0.2.,occupancy,CHIL-intercept,-1.09,0.06,1.20
raccoon,B0.3.,occupancy,DECO-intercept,-0.35,0.47,1.29
raccoon,B0.4.,occupancy,FOCO-intercept,0.81,1.57,2.38
raccoon,B0.5.,occupancy,ICIA-intercept,0.85,1.74,2.66
raccoon,B0.6.,occupancy,ININ-intercept,0.70,1.34,2.00
raccoon,B0.7.,occupancy,LBCA-intercept,0.60,1.21,1.80
raccoon,B0.8.,occupancy,MAKS-intercept,0.87,1.82,2.80
raccoon,B0.9.,occupancy,MAWI-intercept,-0.21,0.54,1.32
raccoon,B0.10.,occupancy,WIDE-intercept,0.55,1.13,1.71
raccoon,B.1.,occupancy,AUTX-slope,-0.47,-0.15,0.18
raccoon,B.2.,occupancy,CHIL-slope,-0.77,-0.55,-0.35
raccoon,B.3.,occupancy,DECO-slope,-0.55,-0.33,-0.11
raccoon,B.4.,occupancy,FOCO-slope,-0.37,0.28,0.93
raccoon,B.5.,occupancy,ICIA-slope,-0.35,0.37,1.10
raccoon,B.6.,occupancy,ININ-slope,-0.39,0.15,0.71
raccoon,B.7.,occupancy,LBCA-slope,-0.42,0.08,0.56
raccoon,B.8.,occupancy,MAKS-slope,-0.34,0.41,1.18
raccoon,B.9.,occupancy,MAWI-slope,-0.53,-0.29,-0.05
raccoon,B.10.,occupancy,WIDE-slope,-0.42,0.03,0.49
raccoon,b1.1.,occupancy,among_city_intercept,0.49,1.07,1.65
raccoon,b1.2.,occupancy,among_city_hden,-1.18,-0.58,-0.01
raccoon,b2.1.,occupancy,among_city_slope,-0.43,0.00,0.44
raccoon,b2.2.,occupancy,among_city_slope_hden,-0.60,-0.32,-0.05
raccoon,b_2016.2.,occupancy,CHIL-2016 data,-0.54,0.09,0.70
raccoon,b_2016.8.,occupancy,MAKS-2016 data,-0.98,-0.22,0.53
raccoon,b_2018.2.,occupancy,CHIL-2018 data,-0.43,0.19,0.81
raccoon,b_2018.5.,occupancy,ICIA-2018 data,-0.79,0.66,2.27
raccoon,b_2018.6.,occupancy,ININ-2018 data,-0.72,0.75,2.31
raccoon,b_2018.9.,occupancy,MAWI-2018 data,-1.00,0.05,1.11
raccoon,D0.1.,detection,AUTX-intercept,-2.35,-2.06,-1.77
raccoon,D0.2.,detection,CHIL-intercept,-0.99,-0.94,-0.88
raccoon,D0.3.,detection,DECO-intercept,-1.81,-1.58,-1.37
raccoon,D0.4.,detection,FOCO-intercept,-1.58,-1.40,-1.22
raccoon,D0.5.,detection,ICIA-intercept,-0.32,-0.24,-0.16
raccoon,D0.6.,detection,ININ-intercept,-0.57,-0.49,-0.42
raccoon,D0.7.,detection,LBCA-intercept,-1.62,-1.46,-1.30
raccoon,D0.8.,detection,MAKS-intercept,-1.18,-1.10,-1.03
raccoon,D0.9.,detection,MAWI-intercept,-1.99,-1.78,-1.57
raccoon,D0.10.,detection,WIDE-intercept,-1.28,-1.11,-0.94
raccoon,Dmu,detection,grand mean,-1.60,-1.20,-0.79
raccoon,psi_sd,occupancy,among city standard deviation,0.29,0.73,1.38
raccoon,rho_sd,detection,among city standard deviation,0.35,0.59,0.96
raccoon,B_diff.1.,occupancy,AUTX-random effect,-1.39,-0.49,0.36
raccoon,B_diff.2.,occupancy,CHIL-random effect,-0.43,0.67,1.86
raccoon,B_diff.3.,occupancy,DECO-random effect,-1.38,-0.44,0.45
raccoon,B_diff.4.,occupancy,FOCO-random effect,-1.54,-0.53,0.39
raccoon,B_diff.5.,occupancy,ICIA-random effect,-0.53,0.49,1.68
raccoon,B_diff.6.,occupancy,ININ-random effect,-0.03,0.88,1.99
raccoon,B_diff.7.,occupancy,LBCA-random effect,-0.81,0.11,1.07
raccoon,B_diff.8.,occupancy,MAKS-random effect,-1.41,-0.34,0.62
raccoon,B_diff.9.,occupancy,MAWI-random effect,-1.55,-0.55,0.35
raccoon,B_diff.10.,occupancy,WIDE--random effect,-0.44,0.45,1.46
red fox,B0.1.,occupancy,AUTX-intercept,-2.27,0.05,2.53
red fox,B0.2.,occupancy,CHIL-intercept,-4.54,-2.25,0.31
red fox,B0.3.,occupancy,DECO-intercept,-2.45,-1.09,0.40
red fox,B0.4.,occupancy,FOCO-intercept,-2.25,-0.83,0.71
red fox,B0.5.,occupancy,ICIA-intercept,-2.99,-1.51,0.19
red fox,B0.6.,occupancy,ININ-intercept,-3.27,-1.67,0.19
red fox,B0.7.,occupancy,LBCA-intercept,-2.28,-0.92,0.60
red fox,B0.8.,occupancy,MAKS-intercept,-2.33,0.22,2.94
red fox,B0.9.,occupancy,MAWI-intercept,-3.89,-1.94,0.17
red fox,B0.10.,occupancy,WIDE-intercept,-2.15,-0.41,1.50
red fox,B.1.,occupancy,AUTX-slope,0.20,1.28,2.41
red fox,B.2.,occupancy,CHIL-slope,-1.72,-0.66,0.22
red fox,B.3.,occupancy,DECO-slope,-0.38,0.30,0.97
red fox,B.4.,occupancy,FOCO-slope,-0.19,0.52,1.25
red fox,B.5.,occupancy,ICIA-slope,-0.76,-0.04,0.64
red fox,B.6.,occupancy,ININ-slope,-0.95,-0.17,0.52
red fox,B.7.,occupancy,LBCA-slope,-0.26,0.44,1.14
red fox,B.8.,occupancy,MAKS-slope,0.24,1.43,2.65
red fox,B.9.,occupancy,MAWI-slope,-1.28,-0.40,0.38
red fox,B.10.,occupancy,WIDE-slope,0.04,0.88,1.78
red fox,b1.1.,occupancy,among_city_intercept,-2.33,-1.03,0.52
red fox,b1.2.,occupancy,among_city_greenspace,-0.57,0.82,2.22
red fox,b2.1.,occupancy,among_city_slope,-0.34,0.35,1.03
red fox,b2.2.,occupancy,among_city_slope_greenspace,0.12,0.70,1.28
red fox,b_2016.2.,occupancy,CHIL-2016 data,-2.40,-0.20,1.89
red fox,b_2016.8.,occupancy,MAKS-2016 data,-1.79,-0.74,0.26
red fox,b_2018.2.,occupancy,CHIL-2018 data,-2.48,-0.30,1.78
red fox,b_2018.5.,occupancy,ICIA-2018 data,-0.68,0.38,1.47
red fox,b_2018.6.,occupancy,ININ-2018 data,-0.99,0.18,1.36
red fox,b_2018.9.,occupancy,MAWI-2018 data,-4.54,-1.41,1.20
red fox,D0.1.,detection,AUTX-intercept,-6.54,-2.59,1.25
red fox,D0.2.,detection,CHIL-intercept,-6.37,-4.06,-2.43
red fox,D0.3.,detection,DECO-intercept,-5.97,-4.50,-3.03
red fox,D0.4.,detection,FOCO-intercept,-5.44,-4.08,-2.88
red fox,D0.5.,detection,ICIA-intercept,-1.46,-1.25,-1.04
red fox,D0.6.,detection,ININ-intercept,-1.85,-1.60,-1.35
red fox,D0.7.,detection,LBCA-intercept,-6.42,-2.60,1.36
red fox,D0.8.,detection,MAKS-intercept,-1.96,-1.71,-1.46
red fox,D0.9.,detection,MAWI-intercept,-5.39,-3.67,-2.31
red fox,D0.10.,detection,WIDE-intercept,-2.26,-2.01,-1.76
