"Species","parameter","species_there","estimate"
"foxsquirrel","WIDE-diff",NA,"-0.01 (-2.45 - 2.56)"
"graysquirrel","AUTX-intercept","FALSE","0.90 (-2.71 - 4.51)"
"graysquirrel","CHIL-intercept","TRUE","0.09 (-2.89 - 3.11)"
"graysquirrel","DECO-intercept","FALSE","0.48 (-1.87 - 2.71)"
"graysquirrel","FOCO-intercept","FALSE","-0.41 (-2.44 - 1.64)"
"graysquirrel","ICIA-intercept","TRUE","-1.02 (-3.45 - 1.65)"
"graysquirrel","ININ-intercept","TRUE","-0.75 (-2.63 - 1.27)"
"graysquirrel","LBCA-intercept","TRUE","-0.12 (-1.76 - 1.51)"
"graysquirrel","MAKS-intercept","FALSE","0.06 (-3.54 - 3.58)"
"graysquirrel","MAWI-intercept","TRUE","-0.16 (-2.15 - 1.97)"
"graysquirrel","WIDE-intercept","TRUE","0.29 (-2.13 - 2.65)"
"graysquirrel","AUTX-slope","FALSE","2.62 (0.22 - 5.19)"
"graysquirrel","CHIL-slope","TRUE","0.05 (-0.11 - 0.23)"
"graysquirrel","DECO-slope","FALSE","1.31 (0.14 - 2.58)"
"graysquirrel","FOCO-slope","FALSE","0.83 (-0.20 - 1.93)"
"graysquirrel","ICIA-slope","TRUE","-0.23 (-1.43 - 0.94)"
"graysquirrel","ININ-slope","TRUE","-0.14 (-1.02 - 0.77)"
"graysquirrel","LBCA-slope","TRUE","0.98 (0.04 - 2.07)"
"graysquirrel","MAKS-slope","FALSE","2.06 (0.14 - 4.19)"
"graysquirrel","MAWI-slope","TRUE","0.10 (-0.21 - 0.42)"
"graysquirrel","WIDE-slope","TRUE","1.73 (0.20 - 3.47)"
"graysquirrel","Bmu",NA,"-0.06 (-1.58 - 1.50)"
"graysquirrel","between_prophab",NA,"0.55 (-1.33 - 2.28)"
"graysquirrel","between_hden",NA,"0.56 (-1.12 - 2.11)"
"graysquirrel","within_urb",NA,"0.93 (0.07 - 1.95)"
"graysquirrel","probhab_onurb",NA,"1.12 (0.04 - 2.29)"
"graysquirrel","hden_onurb",NA,"0.46 (-0.20 - 1.13)"
"graysquirrel","average_detection",NA,"-1.36 (-1.85 - -0.86)"
"graysquirrel","AUTX-diff",NA,"-0.01 (-3.96 - 4.14)"
"graysquirrel","CHIL-diff",NA,"0.44 (-2.56 - 3.44)"
"graysquirrel","DECO-diff",NA,"0.01 (-4.07 - 4.03)"
"graysquirrel","FOCO-diff",NA,"0.00 (-4.01 - 4.14)"
"graysquirrel","ICIA-diff",NA,"1.06 (-1.52 - 3.58)"
"graysquirrel","ININ-diff",NA,"-1.57 (-3.81 - 0.34)"
"graysquirrel","LBCA-diff",NA,"-1.43 (-3.38 - 0.33)"
"graysquirrel","MAKS-diff",NA,"-0.00 (-4.02 - 4.06)"
"graysquirrel","MAWI-diff",NA,"0.08 (-2.02 - 2.19)"
"graysquirrel","WIDE-diff",NA,"1.26 (-1.03 - 3.89)"
"opossum","AUTX-intercept","TRUE","0.09 (-0.45 - 0.56)"
"opossum","CHIL-intercept","TRUE","-0.09 (-1.07 - 0.72)"
"opossum","DECO-intercept","FALSE","0.01 (-0.71 - 0.59)"
"opossum","FOCO-intercept","FALSE","0.28 (-0.34 - 0.86)"
"opossum","ICIA-intercept","TRUE","0.32 (-0.41 - 0.97)"
"opossum","ININ-intercept","TRUE","0.22 (-0.31 - 0.70)"
"opossum","LBCA-intercept","FALSE","0.19 (-0.32 - 0.63)"
"opossum","MAKS-intercept","TRUE","0.34 (-0.42 - 1.05)"
"opossum","MAWI-intercept","TRUE","0.02 (-0.65 - 0.57)"
"opossum","WIDE-intercept","TRUE","0.17 (-0.33 - 0.60)"
"opossum","AUTX-slope","TRUE","-0.21 (-0.50 - 0.07)"
"opossum","CHIL-slope","TRUE","-0.56 (-0.80 - -0.33)"
"opossum","DECO-slope","FALSE","-0.37 (-0.59 - -0.15)"
"opossum","FOCO-slope","FALSE","0.15 (-0.39 - 0.71)"
"opossum","ICIA-slope","TRUE","0.23 (-0.38 - 0.85)"
"opossum","ININ-slope","TRUE","0.05 (-0.41 - 0.52)"
"opossum","LBCA-slope","FALSE","-0.02 (-0.44 - 0.40)"
"opossum","MAKS-slope","TRUE","0.27 (-0.37 - 0.92)"
"opossum","MAWI-slope","TRUE","-0.33 (-0.57 - -0.11)"
"opossum","WIDE-slope","TRUE","-0.06 (-0.44 - 0.34)"
"opossum","Bmu",NA,"0.15 (-0.35 - 0.58)"
"opossum","between_hden",NA,"-0.14 (-0.61 - 0.28)"
"opossum","within_urb",NA,"-0.09 (-0.46 - 0.28)"
"opossum","hden_onurb",NA,"-0.28 (-0.51 - -0.04)"
"opossum","average_detection",NA,"-1.67 (-2.04 - -1.32)"
"opossum","AUTX-diff",NA,"-0.33 (-1.26 - 0.24)"
"opossum","CHIL-diff",NA,"0.15 (-0.59 - 1.15)"
"opossum","DECO-diff",NA,"-0.00 (-1.14 - 1.08)"
"opossum","FOCO-diff",NA,"0.00 (-1.11 - 1.10)"
"opossum","ICIA-diff",NA,"-0.21 (-1.09 - 0.40)"
"opossum","ININ-diff",NA,"0.29 (-0.22 - 1.09)"
"opossum","LBCA-diff",NA,"-0.00 (-1.09 - 1.10)"
"opossum","MAKS-diff",NA,"0.14 (-0.49 - 1.00)"
"opossum","MAWI-diff",NA,"-0.07 (-0.86 - 0.59)"
"opossum","WIDE-diff",NA,"0.02 (-0.60 - 0.71)"
"rabbit","AUTX-intercept","TRUE","-0.79 (-1.28 - -0.33)"
"rabbit","CHIL-intercept","TRUE","-0.19 (-0.62 - 0.25)"
"rabbit","DECO-intercept","TRUE","-0.49 (-0.76 - -0.23)"
"rabbit","FOCO-intercept","TRUE","-0.56 (-0.86 - -0.28)"
"rabbit","ICIA-intercept","TRUE","-0.39 (-0.67 - -0.09)"
"rabbit","ININ-intercept","TRUE","-0.34 (-0.65 - -0.03)"
"rabbit","LBCA-intercept","FALSE","-0.54 (-0.83 - -0.26)"
"rabbit","MAKS-intercept","TRUE","-0.84 (-1.38 - -0.34)"
"rabbit","MAWI-intercept","TRUE","-0.27 (-0.62 - 0.11)"
"rabbit","WIDE-intercept","TRUE","-0.67 (-1.05 - -0.32)"
"rabbit","AUTX-slope","TRUE","0.40 (-0.22 - 1.04)"
"rabbit","CHIL-slope","TRUE","0.13 (-0.03 - 0.29)"
"rabbit","DECO-slope","TRUE","0.27 (-0.05 - 0.59)"
"rabbit","FOCO-slope","TRUE","0.30 (-0.09 - 0.68)"
"rabbit","ICIA-slope","TRUE","0.22 (0.00 - 0.44)"
"rabbit","ININ-slope","TRUE","0.20 (0.01 - 0.39)"
"rabbit","LBCA-slope","FALSE","0.29 (-0.08 - 0.65)"
"rabbit","MAKS-slope","TRUE","0.42 (-0.25 - 1.11)"
"rabbit","MAWI-slope","TRUE","0.16 (0.01 - 0.32)"
"rabbit","WIDE-slope","TRUE","0.35 (-0.17 - 0.84)"
"rabbit","Bmu",NA,"-0.51 (-0.78 - -0.24)"
"rabbit","between_prophab",NA,"-0.22 (-0.49 - 0.03)"
"rabbit","within_urb",NA,"0.27 (-0.06 - 0.61)"
"rabbit","probhab_onurb",NA,"0.10 (-0.14 - 0.34)"
"rabbit","average_detection",NA,"-1.61 (-2.19 - -1.03)"
"rabbit","AUTX-diff",NA,"-0.05 (-0.71 - 0.26)"
"rabbit","CHIL-diff",NA,"-0.05 (-0.56 - 0.24)"
"rabbit","DECO-diff",NA,"-0.00 (-0.38 - 0.35)"
"rabbit","FOCO-diff",NA,"0.03 (-0.28 - 0.52)"
"rabbit","ICIA-diff",NA,"-0.03 (-0.51 - 0.26)"
"rabbit","ININ-diff",NA,"0.04 (-0.23 - 0.52)"
"rabbit","LBCA-diff",NA,"-0.00 (-0.50 - 0.51)"
"rabbit","MAKS-diff",NA,"0.02 (-0.35 - 0.51)"
"rabbit","MAWI-diff",NA,"0.03 (-0.31 - 0.51)"
"rabbit","WIDE-diff",NA,"0.01 (-0.40 - 0.46)"
"raccoon","AUTX-intercept","TRUE","0.80 (0.17 - 1.42)"
"raccoon","CHIL-intercept","TRUE","0.06 (-1.09 - 1.20)"
"raccoon","DECO-intercept","TRUE","0.47 (-0.35 - 1.29)"
"raccoon","FOCO-intercept","TRUE","1.57 (0.81 - 2.38)"
"raccoon","ICIA-intercept","TRUE","1.74 (0.85 - 2.66)"
"raccoon","ININ-intercept","TRUE","1.34 (0.70 - 2.00)"
"raccoon","LBCA-intercept","TRUE","1.21 (0.60 - 1.80)"
"raccoon","MAKS-intercept","TRUE","1.82 (0.87 - 2.80)"
"raccoon","MAWI-intercept","TRUE","0.54 (-0.21 - 1.32)"
"raccoon","WIDE-intercept","TRUE","1.13 (0.55 - 1.71)"
"raccoon","AUTX-slope","TRUE","-0.15 (-0.47 - 0.18)"
"raccoon","CHIL-slope","TRUE","-0.55 (-0.77 - -0.35)"
"raccoon","DECO-slope","TRUE","-0.33 (-0.55 - -0.11)"
"raccoon","FOCO-slope","TRUE","0.28 (-0.37 - 0.93)"
"raccoon","ICIA-slope","TRUE","0.37 (-0.35 - 1.10)"
"raccoon","ININ-slope","TRUE","0.15 (-0.39 - 0.71)"
"raccoon","LBCA-slope","TRUE","0.08 (-0.42 - 0.56)"
"raccoon","MAKS-slope","TRUE","0.41 (-0.34 - 1.18)"
"raccoon","MAWI-slope","TRUE","-0.29 (-0.53 - -0.05)"
"raccoon","WIDE-slope","TRUE","0.03 (-0.42 - 0.49)"
"raccoon","Bmu",NA,"1.07 (0.49 - 1.65)"
"raccoon","between_hden",NA,"-0.58 (-1.18 - -0.01)"
"raccoon","within_urb",NA,"-0.00 (-0.43 - 0.44)"
"raccoon","hden_onurb",NA,"-0.32 (-0.60 - -0.05)"
"raccoon","average_detection",NA,"-1.20 (-1.60 - -0.79)"
"raccoon","AUTX-diff",NA,"-0.49 (-1.39 - 0.36)"
"raccoon","CHIL-diff",NA,"0.67 (-0.43 - 1.86)"
"raccoon","DECO-diff",NA,"-0.44 (-1.38 - 0.45)"
"raccoon","FOCO-diff",NA,"-0.53 (-1.54 - 0.39)"
"raccoon","ICIA-diff",NA,"0.49 (-0.53 - 1.68)"
"raccoon","ININ-diff",NA,"0.88 (-0.03 - 1.99)"
"raccoon","LBCA-diff",NA,"0.11 (-0.81 - 1.07)"
"raccoon","MAKS-diff",NA,"-0.34 (-1.41 - 0.62)"
"raccoon","MAWI-diff",NA,"-0.55 (-1.55 - 0.35)"
"raccoon","WIDE-diff",NA,"0.45 (-0.44 - 1.46)"
"redfox","AUTX-intercept","FALSE","0.05 (-2.27 - 2.53)"
"redfox","CHIL-intercept","TRUE","-2.25 (-4.54 - 0.31)"
"redfox","DECO-intercept","TRUE","-1.09 (-2.45 - 0.40)"
"redfox","FOCO-intercept","TRUE","-0.83 (-2.25 - 0.71)"
"redfox","ICIA-intercept","TRUE","-1.51 (-2.99 - 0.19)"
"redfox","ININ-intercept","TRUE","-1.67 (-3.27 - 0.19)"
"redfox","LBCA-intercept","FALSE","-0.92 (-2.28 - 0.60)"
"redfox","MAKS-intercept","TRUE","0.22 (-2.33 - 2.94)"
"redfox","MAWI-intercept","TRUE","-1.94 (-3.89 - 0.17)"
"redfox","WIDE-intercept","TRUE","-0.41 (-2.15 - 1.50)"
"redfox","AUTX-slope","FALSE","1.28 (0.20 - 2.41)"
"redfox","CHIL-slope","TRUE","-0.66 (-1.72 - 0.22)"
"redfox","DECO-slope","TRUE","0.30 (-0.38 - 0.97)"
"redfox","FOCO-slope","TRUE","0.52 (-0.19 - 1.25)"
"redfox","ICIA-slope","TRUE","-0.04 (-0.76 - 0.64)"
"redfox","ININ-slope","TRUE","-0.17 (-0.95 - 0.52)"
"redfox","LBCA-slope","FALSE","0.44 (-0.26 - 1.14)"
"redfox","MAKS-slope","TRUE","1.43 (0.24 - 2.65)"
"redfox","MAWI-slope","TRUE","-0.40 (-1.28 - 0.38)"
"redfox","WIDE-slope","TRUE","0.88 (0.04 - 1.78)"
"redfox","Bmu",NA,"-1.03 (-2.33 - 0.52)"
"redfox","between_prophab",NA,"0.82 (-0.57 - 2.22)"
"redfox","within_urb",NA,"0.35 (-0.34 - 1.03)"
"redfox","probhab_onurb",NA,"0.70 (0.12 - 1.28)"
"redfox","average_detection",NA,"-2.59 (-3.87 - -1.27)"
"redfox","AUTX-diff",NA,"0.01 (-3.92 - 4.06)"
"redfox","CHIL-diff",NA,"-1.33 (-4.37 - 1.34)"
"redfox","DECO-diff",NA,"0.53 (-1.82 - 3.65)"
"redfox","FOCO-diff",NA,"0.04 (-2.22 - 2.61)"
"redfox","ICIA-diff",NA,"-0.15 (-2.00 - 1.44)"
"redfox","ININ-diff",NA,"-0.42 (-2.39 - 1.30)"
"redfox","LBCA-diff",NA,"0.00 (-4.01 - 4.03)"
"redfox","MAKS-diff",NA,"-2.00 (-4.82 - 0.47)"
"redfox","MAWI-diff",NA,"-0.19 (-2.71 - 2.17)"
"redfox","WIDE-diff",NA,"2.14 (0.17 - 4.30)"
"skunk","AUTX-intercept","TRUE","-1.71 (-2.12 - -1.34)"
"skunk","CHIL-intercept","TRUE","-1.71 (-2.12 - -1.34)"
"skunk","DECO-intercept","TRUE","-1.71 (-2.12 - -1.34)"
"skunk","FOCO-intercept","TRUE","-1.71 (-2.12 - -1.34)"
"skunk","ICIA-intercept","TRUE","-1.71 (-2.12 - -1.34)"
"skunk","ININ-intercept","FALSE","-1.71 (-2.12 - -1.34)"
"skunk","LBCA-intercept","TRUE","-1.71 (-2.12 - -1.34)"
"skunk","MAKS-intercept","TRUE","-1.71 (-2.12 - -1.34)"
"skunk","MAWI-intercept","TRUE","-1.71 (-2.12 - -1.34)"
"skunk","WIDE-intercept","TRUE","-1.71 (-2.12 - -1.34)"
"skunk","AUTX-slope","TRUE","-0.38 (-0.65 - -0.13)"
"skunk","CHIL-slope","TRUE","-0.38 (-0.65 - -0.13)"
"skunk","DECO-slope","TRUE","-0.38 (-0.65 - -0.13)"
"skunk","FOCO-slope","TRUE","-0.38 (-0.65 - -0.13)"
"skunk","ICIA-slope","TRUE","-0.38 (-0.65 - -0.13)"
"skunk","ININ-slope","FALSE","-0.38 (-0.65 - -0.13)"
"skunk","LBCA-slope","TRUE","-0.38 (-0.65 - -0.13)"
"skunk","MAKS-slope","TRUE","-0.38 (-0.65 - -0.13)"
"skunk","MAWI-slope","TRUE","-0.38 (-0.65 - -0.13)"
"skunk","WIDE-slope","TRUE","-0.38 (-0.65 - -0.13)"
"skunk","Bmu",NA,"-1.71 (-2.12 - -1.34)"
"skunk","within_urb",NA,"-0.38 (-0.65 - -0.13)"
"skunk","average_detection",NA,"-2.58 (-3.58 - -1.59)"
"skunk","AUTX-diff",NA,"0.00 (-0.48 - 0.54)"
"skunk","CHIL-diff",NA,"0.06 (-0.20 - 0.62)"
"skunk","DECO-diff",NA,"-0.02 (-0.55 - 0.35)"
"skunk","FOCO-diff",NA,"0.01 (-0.43 - 0.47)"
"skunk","ICIA-diff",NA,"-0.02 (-0.73 - 0.39)"
"skunk","ININ-diff",NA,"0.00 (-0.59 - 0.53)"
"skunk","LBCA-diff",NA,"0.02 (-0.38 - 0.58)"
"skunk","MAKS-diff",NA,"-0.01 (-0.46 - 0.36)"
"skunk","MAWI-diff",NA,"-0.03 (-0.63 - 0.35)"
"skunk","WIDE-diff",NA,"0.00 (-0.46 - 0.52)"
