,coyote,red fox,raccoon,v. opossum,gray squirrel,fox squirrel,striped skunk,w. t. deer,e. cottontail,J,year
355-2-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2018
356-2-18,0,0,0,0,4,0,0,0,1,26,2018
357-2-18,1,0,0,1,10,0,0,0,9,12,2018
358-2-18,0,0,0,0,0,0,0,0,0,28,2018
359-2-18,0,0,0,0,1,0,0,0,1,29,2018
364-2-18,1,0,5,0,1,0,0,3,0,29,2018
366-2-18,2,0,0,0,0,0,0,11,0,29,2018
367-2-18,1,0,7,0,0,0,0,15,0,36,2018
369-2-18,0,0,0,0,0,0,0,0,0,15,2018
370-2-18,4,0,20,5,14,0,1,2,0,36,2018
372-2-18,1,0,9,2,0,0,4,0,0,36,2018
373-2-18,1,0,6,2,4,0,0,1,0,36,2018
375-2-18,1,0,1,0,0,0,0,20,3,28,2018
376-2-18,1,0,17,0,0,0,0,8,0,29,2018
378-2-18,0,0,4,1,8,0,0,0,0,22,2018
379-2-18,3,0,7,18,7,2,0,2,0,35,2018
380-2-18,2,0,27,0,6,10,0,5,6,28,2018
381-2-18,1,0,8,2,1,0,0,8,0,28,2018
382-2-18,3,0,1,12,4,0,1,5,19,29,2018
383-2-18,0,0,4,1,1,1,0,0,1,29,2018
384-2-18,5,0,19,11,17,12,2,2,18,29,2018
386-2-18,1,0,11,4,5,0,0,7,0,29,2018
389-2-18,6,0,0,1,0,0,0,1,0,29,2018
390-2-18,12,0,3,10,19,0,0,3,2,29,2018
393-2-18,0,0,1,0,0,0,0,4,0,36,2018
394-2-18,0,0,8,0,4,1,0,2,0,36,2018
395-2-18,2,0,6,0,1,0,0,3,0,36,2018
396-2-18,3,0,2,1,0,0,0,14,0,29,2018
397-2-18,1,0,12,0,0,1,0,14,1,29,2018
398-2-18,0,0,17,16,21,1,3,0,2,29,2018
399-2-18,0,0,5,0,1,1,0,0,0,29,2018
400-2-18,2,0,3,1,0,0,1,18,1,36,2018
401-2-18,0,0,5,0,5,2,0,16,1,36,2018
402-2-18,0,0,3,0,15,3,4,0,0,36,2018
404-2-18,0,0,1,0,4,1,0,4,0,35,2018
405-2-18,5,0,9,2,3,10,1,9,5,36,2018
406-2-18,1,0,15,0,14,11,7,0,6,29,2018
407-2-18,0,0,0,0,3,4,1,0,0,28,2018
408-2-18,0,0,3,0,0,0,0,3,9,28,2018
409-2-18,2,0,14,6,15,8,24,2,4,28,2018
410-2-18,0,0,5,11,6,2,0,0,8,28,2018
411-2-18,0,0,0,0,4,0,0,0,0,28,2018
413-2-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2018
414-2-18,5,0,13,2,2,0,3,2,0,36,2018
416-2-18,1,0,4,2,1,0,1,3,0,36,2018
417-2-18,0,0,0,1,6,0,0,0,0,28,2018
418-2-18,1,0,9,1,8,1,0,1,0,28,2018
419-2-18,5,0,20,1,2,0,0,1,1,29,2018
422-2-18,3,0,1,0,0,0,0,0,0,29,2018
423-2-18,0,0,7,2,21,7,0,0,6,29,2018
424-2-18,6,0,0,0,3,1,0,0,0,35,2018
427-2-18,0,0,1,0,4,0,0,0,0,36,2018
428-2-18,1,2,2,0,13,1,1,0,0,36,2018
429-2-18,0,0,9,2,21,0,0,0,1,29,2018
435-2-18,1,0,26,5,15,2,0,1,3,28,2018
436-2-18,14,0,8,0,2,1,3,0,0,28,2018
437-2-18,0,0,5,5,0,0,0,1,1,36,2018
438-2-18,0,0,12,0,10,0,2,1,3,36,2018
439-2-18,0,0,0,1,1,1,0,1,0,22,2018
440-2-18,10,0,19,1,14,7,6,5,0,36,2018
442-2-18,2,0,18,1,0,0,0,2,1,36,2018
443-2-18,0,0,7,1,1,0,0,8,0,22,2018
445-2-18,1,0,3,4,1,1,0,2,0,22,2018
446-2-18,0,0,7,1,7,1,1,6,0,28,2018
447-2-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018
448-2-18,0,0,7,2,2,2,0,2,0,30,2018
453-2-18,10,0,28,6,14,0,0,29,0,29,2018
455-2-18,3,0,1,3,0,0,0,10,28,35,2018
